Registration Number,Object Name,Launch Vehicle,Place of Launch,Date of Launch,Apogee (km),Perigee (km),Inclination (degrees),Period (minutes),Function,Country of Origin
279,,,,1968-05-24,,,,,Investigation of the upper atmosphere and outer space,USSR
278,,,,1968-05-07,,,,,Investigation of the upper atmosphere and outer space,USSR
277,,,,1968-04-26,,,,,Investigation of the upper atmosphere and outer space,USSR
276,,,,1968-04-25,,,,,Investigation of the upper atmosphere and outer space,USSR
275,,,,1968-04-24,,,,,Investigation of the upper atmosphere and outer space,USSR
274,,,,1968-04-21,,,,,"Operation of a system of long range telephone-telegraph radio communication and transmission of USSR Central Television programmes to the stations of the ""Orbit"" network.",USSR
273,,,,1968-04-20,,,,,Investigation of the upper atmosphere and outer space,USSR
272,,,,1968-04-19,,,,,Investigation of the upper atmosphere and outer space,USSR
271,,,,1968-04-18,,,,,Investigation of the upper atmosphere and outer space,USSR
270,,,,1968-04-15,,,,,"Investigation of outer space, development of new systems and elements to be used in the construction of space devices",USSR
269,,,,1968-04-14,,,,,"Investigation of outer space, development of new systems and elements to be used in the construction of space devices",USSR
268,,,,1968-04-09,,,,,Investigation of the upper atmosphere and outer space,USSR
267,,,,1968-04-07,,,,,Further scientific experiments in circumlunar space,USSR
266,,,,1968-04-03,,,,,Investigation of the upper atmosphere and outer space,USSR
265,,,,1968-03-22,,,,,Investigation of the upper atmosphere and outer space,USSR
264,,,,1968-03-21,,,,,Investigation of the upper atmosphere and outer space,USSR
263,,,,1968-03-16,,,,,Investigation of the upper atmosphere and outer space,USSR
262,(METEOR),,,1968-03-14,,,,,Investigation of the upper atmosphere and outer space,USSR
260,,,,1968-03-05,,,,,Investigation of the upper atmosphere and outer space,USSR
261,,,,1968-03-05,,,,,Investigation of the upper atmosphere and outer space,USSR
259,,,,1968-03-02,,,,,"Study of remote regions of circumterrestrial space, development of new on-board systems and units of space stations",USSR
257,,,,1968-02-20,,,,,Investigation of the upper atmosphere and outer space,USSR
258,,,,1968-02-20,,,,,Investigation of the upper atmosphere and outer space,USSR
256,,,,1968-02-06,,,,,Investigation of the upper atmosphere and outer space,USSR
255,,,,1968-01-19,,,,,Investigation of the upper atmosphere and outer space.,USSR
254,,,,1968-01-16,,,,,Investigation of the upper atmosphere and outer space.,USSR
253,,,,1967-12-27,,,,,Investigation of the upper atmosphere and outer space.,USSR
252,,,,1967-12-26,,,,,Investigation of the upper atmosphere and outer space.,USSR
251,,,,1967-12-19,,,,,Investigation of the upper atmosphere and outer space.,USSR
250,,,,1967-12-16,,,,,Investigation of the upper atmosphere and outer space.,USSR
249,,,,1967-12-03,,,,,Investigation of the upper atmosphere and outer space.,USSR
248,,,,1967-11-25,,,,,Investigation of the upper atmosphere and outer space.,USSR
247,,,,1967-11-23,,,,,Investigation of the upper atmosphere and outer space.,USSR
246,,,,1967-11-21,,,,,Investigation of the upper atmosphere and outer space.,USSR
245,,,,1967-11-03,,,,,Investigation of the upper atmosphere and outer space.,USSR
244,,,,1967-10-30,,,,,Investigation of the upper atmosphere and outer space.,USSR
243,,,,1967-10-30,,,,,"Investigation of outer space, development of new systems and elements to be used in the construction of space devices.",USSR
242,,,,1967-10-28,,,,,Investigation of the upper atmosphere and outer space.,USSR
241,,,,1967-10-27,,,,,"Investigation of outer space, development of new systems and elements to be used in the construction of space devices.",USSR
240,,,,1967-10-27,,,,,Investigation of the upper atmosphere and outer space.,USSR
239,(METEOR),,,1967-10-25,,,,,Investigation of the upper atmosphere and outer space.,USSR
237,,,,1967-10-22,,,,,"Operation of a system of long range telephone-telegraph radio-communication, and transmission of USSR Central Television programmes to the stations of the ""Orbit"" network.",USSR
238,,,,1967-10-18,,,,,Investigation of the upper atmosphere and outer space.,USSR
236,,,,1967-10-16,,,,,Investigation of the upper atmosphere and outer space.,USSR
235,,,,1967-10-11,,,,,Investigation of the upper atmosphere and outer space.,USSR
234,,,,1967-10-03,,,,,"Operation of a system of long range telephone-telegraph radio-communication, and transmission of USSR Central Television programmes to the stations of the ""Orbit"" network.",USSR
233,,,,1967-09-26,,,,,Investigation of the upper atmosphere and outer space.,USSR
232,,,,1967-09-22,,,,,Investigation of the upper atmosphere and outer space.,USSR
231,,,,1967-09-16,,,,,Investigation of the upper atmosphere and outer space.,USSR
230,,,,1967-09-16,,,,,Investigation of the upper atmosphere and outer space.,USSR
229,,,,1967-09-12,,,,,Investigation of the upper atmosphere and outer space.,USSR
228,,,,1967-09-11,,,,,Investigation of the upper atmosphere and outer space.,USSR
227,,,,1967-08-31,,,,,Investigation of the upper atmosphere and outer space.,USSR
226,,,,1967-08-24,,,,,Investigation of the upper atmosphere and outer space.,USSR
225,,,,1967-08-09,,,,,Investigation of the upper atmosphere and outer space.,USSR
224,,,,1967-08-08,,,,,Investigation of the upper atmosphere and outer space.,USSR
223,,,,1967-07-31,,,,,Investigation of the upper atmosphere and outer space.,USSR
222,,,,1967-07-17,,,,,Investigation of the upper atmosphere and outer space.,USSR
221,,,,1967-07-04,,,,,Investigation of the upper atmosphere and outer space.,USSR
220,,,,1967-06-17,,,,,Investigation of the upper atmosphere and outer space.,USSR
219,,,,1967-06-14,,,,,Investigation of the upper atmosphere and outer space.,USSR
217,,,,1967-06-12,,,,,Scientific research in outer space,USSR
218,,,,1967-06-12,,,,,Investigation of the upper atmosphere and outer space.,USSR
216,,,,1967-06-08,,,,,Investigation of the upper atmosphere and outer space.,USSR
215,,,,1967-06-05,,,,,Investigation of the upper atmosphere and outer space.,USSR
214,,,,1967-06-01,,,,,Investigation of the upper atmosphere and outer space.,USSR
213,,,,1967-05-25,,,,,Further development and experimental operation of a system of long-range two-way television and telephone-telegraph radio-communication.,USSR
212,,,,1967-05-22,,,,,Investigation of the upper atmosphere and outer space.,USSR
210,,,,1967-05-17,,,,,Investigation of the upper atmosphere and outer space.,USSR
211,,,,1967-05-17,,,,,Investigation of the upper atmosphere and outer space.,USSR
209,,,,1967-05-15,,,,,Investigation of the upper atmosphere and outer space.,USSR
208,,,,1967-05-12,,,,,Investigation of the upper atmosphere and outer space.,USSR
207,,,,1967-04-27,,,,,Investigation of the upper atmosphere and outer space.,USSR
206,,,,1967-04-23,,,,,"Tests of a new manned spaceship, conduct of scientific experiments and research in the upper atmosphere and outer space.",USSR
205,,,,1967-04-12,,,,,Investigation of the upper atmosphere and outer space.,USSR
204,(ZOND),,,1967-04-08,,,,,Investigation of the upper atmosphere and outer space.,USSR
203,,,,1967-04-04,,,,,Investigation of the upper atmosphere and outer space.,USSR
202,,,,1967-03-25,,,,,Investigation of the upper atmosphere and outer space.,USSR
201,,,,1967-03-24,,,,,Investigation of the upper atmosphere and outer space.,USSR
200,,,,1967-03-22,,,,,Investigation of the upper atmosphere and outer space.,USSR
199,,,,1967-03-21,,,,,Investigation of the upper atmosphere and outer space.,USSR
198,,,,1967-03-16,,,,,Investigation of the upper atmosphere and outer space.,USSR
197,,,,1967-03-13,,,,,Investigation of the upper atmosphere and outer space.,USSR
196,(ZOND),,,1967-03-10,,,,,Investigation of the upper atmosphere and outer space.,USSR
195,,,,1967-02-28,,,,,Investigation of the upper atmosphere and outer space.,USSR
194,(METEOR),,,1967-02-28,,,,,Investigation of the upper atmosphere and outer space.,USSR
193,,,,1967-02-27,,,,,Investigation of the upper atmosphere and outer space.,USSR
192,,,,1967-02-14,,,,,Investigation of the upper atmosphere and outer space.,USSR
191,,,,1967-02-08,,,,,Investigation of the upper atmosphere and outer space.,USSR
190,,,,1967-02-07,,,,,Investigation of the upper atmosphere and outer space.,USSR
189,,,,1967-01-25,,,,,Investigation of the upper atmosphere and outer space.,USSR
188,,,,1967-01-19,,,,,Investigation of the upper atmosphere and outer space.,USSR
187,,,,1966-12-21,,,,,Investigation of the upper atmosphere and outer space.,USSR
186,,,,1966-12-21,,,,,Conduct of further scientific investigation of the moon and circum-lunar space.,USSR
185,,,,1966-12-19,,,,,Investigation of the upper atmosphere and outer space.,USSR
184,,,,1966-12-12,,,,,Investigation of the upper atmosphere and outer space.,USSR
183,,,,1966-12-03,,,,,Investigation of the upper atmosphere and outer space.,USSR
182,,,,1966-11-28,,,,,Investigation of the upper atmosphere and outer space.,USSR
181,,,,1966-11-19,,,,,Investigation of the upper atmosphere and outer space.,USSR
180,,,,1966-11-12,,,,,Investigation of the upper atmosphere and outer space.,USSR
179,,,,1966-10-22,,,,,Further development of artificial lunar satellite systems and conduct of scientific experiments in circum-lunar space.,USSR
177,,,,1966-10-20,,,,,Investigation of the upper atmosphere and outer space.,USSR
178,,,,1966-10-20,,,,,"Television programme transmission and long-range two-way multi-channel telephone, phototelegraph and telegraph communications",USSR
176,,,,1966-10-14,,,,,Investigation of the upper atmosphere and outer space.,USSR
175,,,,1966-08-27,,,,,Investigation of the upper atmosphere and outer space.,USSR
174,,,,1966-08-24,,,,,Further development of artificial lunar satellite systems and conduct of scientific experiments in circumlunar space.,USSR
173,,,,1966-08-08,,,,,Investigation of the upper atmosphere and outer space.,USSR
172,,,,1966-07-28,,,,,Investigation of the upper atmosphere and outer space.,USSR
171,,,,1966-07-20,,,,,Investigation of the upper atmosphere and outer space.,USSR
170,,,,1966-07-14,,,,,Investigation of the upper atmosphere and outer space.,USSR
169,,,,1966-07-08,,,,,Investigation of the upper atmosphere and outer space.,USSR
168,,,,1966-07-05,,,,,Investigation of ultra-high-energy cosmic particles.,USSR
167,(METEOR),,,1966-06-25,,,,,Investigation of the upper atmosphere and outer space.,USSR
166,,,,1966-06-17,,,,,Investigation of the upper atmosphere and outer space.,USSR
165,,,,1966-06-08,,,,,Investigation of the upper atmosphere and outer space.,USSR
164,,,,1966-05-24,,,,,Investigation of the upper atmosphere and outer space.,USSR
163,,,,1966-05-11,,,,,Investigation of the upper atmosphere and outer space.,USSR
162,,,,1966-05-06,,,,,Investigation of the upper atmosphere and outer space.,USSR
161,,,,1966-04-26,,,,,Investigation of the upper atmosphere and outer space.,USSR
160,,,,1966-04-25,,,,,"Television programme transmission and long-range two-way multi-channel telephone, phototelegraph and telegraph communications.",USSR
159,,,,1966-04-20,,,,,Investigation of the upper atmosphere and outer space.,USSR
158,,,,1966-04-06,,,,,Investigation of the upper atmosphere and outer space.,USSR
157,,,,1966-03-31,,,,,Development of systems to permit the creation of an artificial lunar satellite for the investigation of circumlunar space; development of inboard systems for putting a station into selenocentric orbit.,USSR
156,,,,1966-03-21,,,,,Investigation of the upper atmosphere and outer space.,USSR
155,,,,1966-03-17,,,,,Investigation of the upper atmosphere and outer space.,USSR
154,(LUNA),,,1966-03-01,,,,,Investigation of the upper atmosphere and outer space.,USSR
153,(BIOCOSMOS),,,1966-02-22,,,,,Biological research.,USSR
152,,,,1966-02-19,,,,,Investigation of the upper atmosphere and outer space.,USSR
151,,,,1966-02-11,,,,,Investigation of the upper atmosphere and outer space.,USSR
150,,,,1966-02-10,,,,,Investigation of the upper atmosphere and outer space.,USSR
149,,,,1966-01-31,,,,,"Experiments necessary for future flights in the programme for conquest of the Moon, transmission of television pictures on the Moons surface.",USSR
148,,,,1966-01-25,,,,,Investigation of the upper atmosphere and outer space.,USSR
147,,,,1966-01-22,,,,,Investigation of the upper atmosphere and outer space.,USSR
146,,,,1966-01-07,,,,,Investigation of the upper atmosphere and outer space.,USSR
145,,,,1965-12-28,,,,,Investigation of the upper atmosphere and outer space.,USSR
144,,,,1965-12-28,,,,,Investigation of the upper atmosphere and outer space.,USSR
143,,,,1965-12-21,,,,,Investigation of the upper atmosphere and outer space.,USSR
142,(METEOR),,,1965-12-17,,,,,Investigation of the upper atmosphere and outer space.,USSR
141,,,,1965-12-10,,,,,Investigation of the upper atmosphere and outer space.,USSR
140,,,,1965-12-03,,,,,Experiments necessary for future flights in the programme for the conquest of the Moon.,USSR
139,,,,1965-11-27,,,,,Investigation of the upper atmosphere and outer space.,USSR
138,,,,1965-11-26,,,,,Investigation of the upper atmosphere and outer space.,USSR
137,,,,1965-11-23,,,,,Investigation of the upper atmosphere and outer space.,USSR
136,,,,1965-11-16,,,,,Scientific research in outer space.,USSR
135,,,,1965-11-12,,,,,Scientific research in outer space.,USSR
134,,,,1965-11-04,,,,,Investigation of the upper atmosphere and outer space.,USSR
133,,,,1965-11-02,,,,,Investigation of ultra-high energy cosmic particles.,USSR
132,,,,1965-10-28,,,,,Investigation of the upper atmosphere and outer space.,USSR
131,,,,1965-10-19,,,,,Investigation of the upper atmosphere and outer space.,USSR
130,,,,1965-10-16,,,,,Investigation of the upper atmosphere and outer space.,USSR
129,,,,1965-10-14,,,,,"Television programme transmission and long-range, two-way multi-channel telephone, phototelegraph and telegraph communications.",USSR
128,,,,1965-10-04,,,,,Experiments necessary for future flights in the programme for the conquest of the Moon.,USSR
